Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"Lion Breweries Technical Library","Other","Business","Active","","ABR","55 Ormiston Road, East Tamaki, Manukau","PO Box 23, Shortland Street, Auckland 1140 -","","+64 9 250 8664","","library@lionco.com","","","T","","Edna Carson","Library Manager","library@lionco.com","","+64 9 250 8664","Edna Carson","Library Manager","library@lionco.com","+64 9 250 8664","","","","","","","T","F","T","Charter","F","14","14","14","14","No extra charges for urgents: only charge if charged.","","14","14","14","14","Manukau","","-36.8669696686596","174.774968919898",
"Ayson Clifford Library, Carey Baptist College","Tertiary","polytechnic","Active","","ABT","473 Great South Road, Penrose, Auckland","PO Box 12 149, Penrose, Auckland - 1642","www.carey.ac.nz/library","+64 9 526 0347","+64 9 525 4096","library@carey.ac.nz","","Carey Baptist College, Ayson Clifford Library","T","","Siong Ng","Library Manager","siong.ng@carey.ac.nz","+64 9 525 4096","+64 9 526 0347","Liz Tisdall","Interloans Contact","library@carey.ac.nz","+64 9 526 6596","","","","","","","F","T","T","Charter","T","15","30","15","30","","","25","35","25","35","Auckland","Auckland","-36.9034510912325","174.808126198999",
"New Zealand College of Chiropractic, NZCA Centennial Library","Tertiary","Health","Active","","ACA","6 Harrison Rd, Mt Wellington, Auckland","PO Box 113-044, Newmarket, Auckland - 1149","www.chiropractic.ac.nz","+64 9 526 2103","+64 9 526 6788","library@nzchiro.co.nz","","NZCA (New Zealand College of Chiropractic) Centennial Library","T","SLIS NORTH","Helen Bennett","Library Manager","helen.bennett@nzchiro.co.nz","+64 9 526 6788","+64 9 526 2103","Helen Bennett","Library Manager (& Interloans)","library@nzchiro.co.nz","+64 9 526 2103","","","","","","","T","F","T","Non-Charter","F","0","14","0","14","","","14","14","14","14","Auckland","Auckland","-36.889439120185","174.795024866438",
"Whitecliffe College of Arts & Design, Parkyn Library","Tertiary","Tertiary","Active","","ACAD","24 Balfour Road, Parnell, Auckland","PO Box 8192, Symonds Street, Auckland - 1150","www.whitecliffe.ac.nz","+64 9 302 7374","+64 9 302 2957","Interloans@whitecliffe.ac.nz","","Parkyn Library, Whitecliffe College of Arts & Design","T","","Erich Ranfft","Library Research Coordinator","erichr@whitecliffe.ac.nz","+64 9 302 2957","+64 9 309 5970 ext. 740","Noeline Champion","Interloans Librarian","interloans@whitecliffe.ac.nz","+64 9 309 5970 x 715","","","","","","","F","F","T","Charter","F","20","20","20","20","","","30","50","30","50","Auckland","Auckland","-36.8635558008751","174.764471954726",
"Unitec Institute of Technology","Tertiary","polytechnic","Active","Te Whare Wananga o Wairaka","ACT","Carrington Road, Mt Albert, Auckland","Private Bag 92 025, , Auckland - 1142","www.unitec.ac.nz","+64 9 849 4185","+64 9 815 2903","interloans@unitec.ac.nz","Formerly UNITEC Institute of Technology Library.","","T","HealthLibs Network","Peter Hughes","Library Manager","phughes@unitec.ac.nz","+64 9 815 2903","+64 9 815 4300","Anne Fowke","Interloans librarian","interloans@unitec.ac.nz","+64 9 815 4321 x 8677","","","","","","","T","T","T","Charter","T","15","15","15","15","","","20","35","20","35","Auckland","Auckland","-36.88231","174.71263",
"Chapman Tripp (Akl) Information and Research Centre","Other","Law","Active","","ACTS","ANZ Centre, 23-29 Albert Street, Auckland","PO Box 2206, , Auckland - 1140","www.chapmantripp.com","+64 9 357 9094","+64 9 357 9099","alf.luapo@chapmantripp.com","","","T","NZLLG (New Zealand Law Librarian's Group)","Alf Luapo","Information and Research Manager","alf.luapo@chapmantripp.com","+64 9 357 9099","+64 9 357 9094","Alf Luapo","Information and Research Manager","alf.luapo@chapmantripp.com","+64 9 357 9094","","","","","","","T","F","T","Charter","F","","14","","14","","","","14","","14","Auckland","Auckland","-36.9384","174.8508",
"Dorian Choral Music Library, Auckland","Other","Music Hire","Active","","ADC","63/67 Ranfurly Road , Epsom, Auckland","Dorian Choral Music Library, PO Box 24-696, Auckland - 1345","","+64 9  630 8506","+64 9 631 5260","PamelaK@xtra.co.nz","Additonal email: margb@ihug.co.nz","","","","ADC Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Auckland","Auckland","","",
"Auckland District Health Board - Starship Children's Health Library","Other","Health","Active","","ADHB","Park Road, Grafton, Auckland",", Private Bag 92024, Auckland -","www.starship.org.nz","+64 9 307 4955","+64 9 307 4979","ssfis@adhb.govt.nz","","Starship Children's Health Library, Auckland District Health Board","F","","Susan Cato-Symonds","","ssfis@adhb.govt.nz","+64 9 307 4979","+64 9 307 4955","Susan Cato-Symonds","Information Specialist, Family Information Service","SusanCS@adhb.govt.nz","+64 9 307 4955","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","","",
"David Yaxley Memorial Library, Lifeway College","","Prospect","Active","","ADYM","Life North Campus, 20 Goodall Road, Snells Beach","PO Box 303, , Warkworth - 0941","www.library.lifeway.ac.nz","+64 9 425 4054 X 205","+64 9 425 4053","library@lifeway.ac.nz","","Lifeway College Library, Snell's Beach Campus","","","Eleanor Neil","","eleanor.neil@lifeway.ac.nz","+64 9 425 4053","+64 9 425 4054 x205","Eleanor Neil","","eleanor.neil@lifeway.ac.nz","+64 9 425 4054 x205","","","","","","","","","","","","","","","","","","","","","","Snells Beach","","","",
"EEO Library","Other","","Active","Te Rüpü Tiaki Kaupapa Whakaörite Whiwhinga Mahi","AEE","Level 5, James & Wells Tower, 56 Cawley Street, Auckland","PO Box 12929, Penrose, Auckland - 1642","www.eeotrust.org.nz","+64 9 525 3023","+64 9 525 7076","admin@eeotrust.org.nz","Formerly EEO Trust Library","","F","SLIS (Specialist Libraries and Information Service","Renée Schick","Information Specialist (& Interloans Contact)","rschick@eeotrust.org.nz","+64 9 525 7076","+64 9 580 4448","Renée Schick","Information Specialist (& Interloans Contact)","rschick@eeotrust.org.nz","+64 9 580 4448","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.8929765582071","174.741758920608",
"Ernest & Marion Davis Library Trust","Other","Health","Active","","AEM","Building 43, Auckland City Hospital, Park Road, Auckland","Private Bag 92 024, Auckland City Hospital, Auckland - 1142","","+64 9 307 4949 398 22260","+64 9 307 0599","emdavislib@adhb.govt.nz","Lend post-1900 material.  Do not borrow","","T","","Juliet Hawkins","Curator","emdavislib@adhb.govt.nz","+64 9 307 0599","+64 9 307 4949 398 22260","Juliet Hawkins","Curator","emdavislib@adhb.govt.nz","+64 9 307 4949 398 22260","","","","","","","F","F","T","Non-Charter","F","0","","0","","","","","","","","Auckland","Auckland","-36.8318241138532","174.745027917954",
"ESR Mt Albert Science Centre, Information and Research Services","Other","research","Active","","AESRA","Hampstead Road, Mt Albert, Auckland","Private Bag 92 021, Mt Albert, Auckland - 1142","","+64 9 815 3670","+64 9 849 6046","library.masc@esr.cri.nz","","Mt Albert Science Centre (ESR), Information and Research Services","T","","Claire Winchester","Information Specialist","library.masc@esr.cri.nz","","","0","Interloans Contact","library.masc@esr.cri.nz","+64 9 815 3670","","","","","","","F","T","T","Charter","T","20","20","20","20","","","30","30","30","30","Auckland","Auckland","-36.8919419129154","174.728301160644",
"Ernst & Young New Zealand Knowledge Centre","","Business","Active","","AEY","41 Shortland Street, , Auckland","PO Box 2146 , , Auckland -","","+64 9 377 4790","+64 9 309 8137","evelyn.johnson@nz.ey.com","","","F","","Evelyn Johnson","Knowledge and Interloans Administrator","evelyn.johnson@nz.ey.com","+64 9 309 8137","+64 9 377 4790","Evelyn Johnson","Knowledge and Interloans Administrator","evelyn.johnson@nz.ey.com","+64 9 377 4790","","","","","","","F","F","F","tba","F","0","","0","","","","","","","","Auckland","Auckland","-36.8469","174.76811856251",
"Royal New Zealand Foundation of the Blind Library","Other","Special Libraries","Active","Te Tuapapa o te Hunga Kapo o Aotearoa","AFB","Awhina House, 4 Maunsell Road, Parnell, Auckland","Private Bag 99 941, Newmarket, Auckland - 1149","www.rnzfb.org.nz","+64 9 355 6969","+64 9 355 6936","library@rnzfb.org.nz","","Foundation of the Blind (Royal New Zealand) Library","T","","Marianne Kraack","Manager, Library Collections and Access","mkraack@rnzfb.org.nz","+64 9 355 6936","+64 9 355 6968","Veronica Hogan","Interloans Librarian","vhogan@rnzfb.org.nz","+64 9 355 7326","","","","","","","F","F","T","Charter","F","","","","","","","","","","","Auckland","Auckland","-36.8625121338515","174.780709820886",
"Fred Hollows Foundation NZ","","Prospect","Active","","AFH","Level 6, 12 Morgan Street, , Auckland","Private Bag 99909, , Auckland - 1149","www.hollows.org.nz","+64 9 304 0524","+64 9 379 7178","kboocock@hollows.org.nz","","","T","","Kate Boocock","","kboocock@hollows.org.nz","+64 9 379 7178","+64 9 304 0524","Kate Boocock","","kboocock@hollows.org.nz","+64 9 304 0524","","","","","","","","","T","Non-Charter","","","","","","","","","","","","Auckland","Auckland","","",
"Fisher & Paykel Appliances Library","0","Business","Active","","AFP","Reception, 78 Springs Road, East Tamaki, Auckland","PO Box 58 546, Botany, Auckland - 2163","","+64 9 273 0680","+64 9 273 0689","sue.jamieson@fisherpaykel.com","","","T","","Sue Jamieson","","sue.jamieson@fisherpaykel.com","+64 9 273 0689","+64 9 273 0680","Interloans Contact","Interloans Contact","sue.jamieson@fisherpaykel.com","+64 9 273 0680","","","","","","","F","T","T","Non-Charter","T","","","","","","","","","","","Auckland","Auckland","-36.9466","174.8912",
"Fisher & Paykel Healthcare Ltd Library","Other","Business","Active","","AFPH","O'Hare Building, 15 Maurice Paykel Place, East Tamaki, Auckland","PO Box 14 348, Panmure, Auckland - 1741","","+64 9 574 0123 x 8250","+64 9 574 0158","carol.hickman@fphcare.co.nz","","","F","HealthLibs Network","Carol Hickman","Library Manager","carol.hickman@fphcare.co.nz","+64 9 574 0158","+64 9 574 0123 x 8250","Carol Hickman","Library Manager","carol.hickman@fphcare.co.nz","+64 9 574 0123 x 8250","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.9362552530757","174.879404491491",
"New Zealand Family Violence Clearinghouse","Other","Other Special Libraries","Active","","AFVC","Building 734, Room 231, Tamaki Innovation Campus, Auckland","Private Bag 92019, Victoria Street West, Auckland - 1142","www.nzfvc.org.nz","(09) 923 4640","","info@nzfvc.org.nz","","","T","","Gay Richards","Information Specialist","info@nzfvc.org.nz","","(09) 923 4640","Gay Richards","Information Specialist","info@nzfvc.org.nz","(09) 923 4640","","","","","","","","","T","Non-Charter","","","","","","","","","","","","Auckland","Auckland","","",
"Defence Technology Agency Library","Other","Government","Active","","AGP","HMN Z Naval Base, Devonport, Auckland","Private Bag 32 901, Devonport, Auckland - 0624","","+64 9 445 5860","+64 9 445 5890","library@dta.mil.nz","","","T","","Cheryl Hill","Library Manager","cherylh@dta.mil.nz","","","Interloans Contact","Interloans Contact","library@dta.mil.nz","","","","","","","","F","T","T","Charter","0","14","14","14","14","Extra charge for urgent copies.","","14","14","14","14","Auckland","Auckland","-36.8528","174.8526",
"New Zealand Heavy Engineering Research Association (HERA) Information Centre","Other","Research","Active","","AHE","17-19 Gladding Place, , Manukau City","PO Box 76 134, , Manukau City - 2241","www.hera.org.nz","+64 9 262 2885","+64 9 262 2856","info@hera.org.nz","","NZ Heavy Engineering Research Association (HERA) Information Centre","T","","Gillian Casidy","Information Centre Manager","info@hera.org.nz","+64 9 262 2856","+64 9 262 4751","Gillian Casidy","Mrs","info@hera.org.nz","+64 9 262 4751","","","","","","","T","T","T","Charter","T","20","40","20","40","A cost recovery charge if courier is requested for urgent copy/loan","","30","40","30","40","Manukau City","","-36.9893050557616","174.885232960718",
"Harrison Grierson Consultants Ltd Library","Other","Business","Active","","AHG","Level 1, 71 Great South Road, Newmarket, Auckland","PO Box 5760, Wellesley Street, Auckland - 1141","http://www.harrisongrierson.com/","+64 9 917 5000","+64 9 917 5001","o.macdiarmid@harrisongrierson.com","","","T","","Oneder Macdiarmid","Knowledge and Information Services Team Leader","o.macdiarmid@harrisongrierson.com","+64 9 917 5001","+64 9 917 5000","Oneder Macdiarmid","Knowledge and Information Services Team Leader","o.macdiarmid@harrisongrierson.com","+64 9 917 5000","","","","","","","T","T","T","Non-Charter","T","","","","","","","","","","","Auckland","Auckland","-36.8815101673462","174.784059643465",
"Hesketh Henry Library","Other","Law","Active","","AHH","41 Shortland Street, , Auckland","Private Bag 92 093, , Auckland -","www.heskethhenry.co.nz","+64 9 375 8710","+64 9 309 4494","geoff.pollard@heskethhenry.co.nz","","","F","","Geoff Pollard","Information Manager","geoff.pollard@heskethhenry.co.nz","","","Geoff Pollard","Information Manager","geoff.pollard@heskethhenry.co.nz","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.847","174.76811856251",
"Human Rights Commission Library","Other","Government","Active","Te Kähui Tika Tangata","AHUR","Level 3, Zurich House, 21 Queen Street, Auckland","PO Box 6751, Wellesley Street, Auckland - 1141","http://www.hrc.co.nz/library","+64 9 375 8637","+64 9 377 3593","library@hrc.co.nz","Discretionary charges to non-charter and non-publically funded libraries.","","T","","Denny Boothe","Librarian (& Interloans Contact)","dennyb@hrc.co.nz","","+64 9 375 8637","Denny Boothe","Librarian (& Interloans Contact)","dennyb@hrc.co.nz","+64 9 375 8637","","","","","","","T","T","T","Charter","T","","14","","14","All charges discretionary for non-charter and non-publically funded libraries","","20","20","20","20","Auckland","Auckland","-36.8447","174.7666",
"ICANZ Inter Country Adoption New Zealand","","Prospect","Active","","AICA","3/666, Dominion Road, Auckland","PO Box96-124, Balmoral, Auckland - 1342","http://www.icanz.gen.nz","+64 9 623 9369","+64 9 623 9365","office@icanz.gen.nz","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Auckland","Auckland","","",
"Injury Prevention Information Centre CLOSED MAY 2012","","Prospect","ClosedRef","","AIP",", , Auckland",", , Auckland -","","","","","","","","","0","","","","","0","","","","","","","","","","","","","tba","","","","","","","","","","","","Auckland","Auckland","","",
"Impact Research NZ","","Prospect","Prospect Hot","","AIR","404 Khyber Pass Rd, Newmarket, Auckland","P.O. Box 9591, Newmarket, Auckland -","http://www.impactresearch.org.nz/site/northern/impact_research/","+64 9 520 8620","","chris.holland@impactresearch.org.nz","","","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Auckland","Auckland","","",
"AIS St. Helens Library","Tertiary","Tertiary","Active","","AIST","28A Linwood Avenue, Mount Albert, Auckland","PO Box 2995, , Auckland - 1140","","+64 9 815 1717","+64 9 815 1802","library@ais.ac.nz","Formerly Auckland Institute of Studies, St. Helens Library","St. Helens Library, AIS","T","","Rebecca Scott","Library Manager","rebeccas@ais.ac.nz","","+64 9 815 1717 x 869","Rebecca Scott","Library Manager","rebeccas@ais.ac.nz","+64 9 815 1717 x 869","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Auckland","Auckland","-36.8582577403406","174.726796277501",
"KPMG Research & Information Services","Other","Business","Active","","AKPM","18 Viaduct Harbour Avenue, , Auckland","PO Box 1584, , Auckland -","","+64 9 367 5800","+64 9 367 5875","jclarke@kpmg.co.nz","","","F","","Julie Clarke","Research Analyst","jclarke@kpmg.co.nz","","+64 9 363 3634","Julie Clarke","Research Analyst","jclarke@kpmg.co.nz","+64 9 363 3634","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.8451","174.75745198745",
"Sinclair Knight Merz Ltd (Akl) Library","Other","Business","Active","","AKR","Level 2, Carlaw Park, 12-16 Nicholls Lane, Parnell, Auckland","PO Box 9806, Newmarket, Auckland - 1023","www.globalskm.com","+64 9 928 5969","+64 9 928 5501","sfoley@globalskm.com","","","T","","Sher Foley","Library Manager (& Interloans)","sfoley@globalskm.com","+64 9 928 5501","+64 9 928 5969","Sher Foley","Library Manager (& Interloans)","sfoley@globalskm.com","+64 9 928 5969","","","","","","","T","T","T","Charter","T","14","14","14","14","","","25","39","25","39","Auckland","Auckland","-36.8688052404012","174.7757002882",
"New Zealand Law Society Library, Auckland","Other","Law","Active","","AL","Parliament Street Entrance, High Court Building, Auckland","PO Box 4416, Shortland St, Auckland - 1140","httphttp://www.lawsociety.org.nz/law-library","+64 9 304 1020","+64 9 304 1039","interloans@nzlslibrary.org.nz","","Formerly: Auckland District Law Society Library","T","NZLLG (New Zealand Law Librarian's Group)","Janice Woolford","Librarian","janice.woolford@lawsociety.org.nz","+64 9 304 1039","+64 9 304 1030","Glenn McLay","Interloans Contact","interloans@nzlslibrary.org.nz","+64 9 304 1022","","","","","","","T","T","T","Charter","T","","","20","20","No loans. All copies subject to fax/photocopying charges.","","","","40","40","Auckland","Auckland","-36.8490004304818","174.773162336668",
"Central Otago District Libraries","Public","Public Library","Active","","ALP","43 Tarbert Street, , Alexandra","PO Box 274, , Alexandra - 9340","libraries.codc-qldc.govt.nz","+64 3 448 9412","+64 3 448 9412","alexlibrary@codc.govt.nz","Catalogue can be found at:
http://catalogue.codc-qldc.govt.nz","","T","","Janine Gillions","Library Manager","janine.gillions@codc.govt.nz","03 448 9412","03 448 9412","Gaye Anderson","Interloans Contact","gaye.anderson@codc.govt.nz","+64 3 448 9412","","","","","","","T","T","T","Charter","T","7","30","7","30","Free to Otago/Southland libraries.","","14","40","14","40","Alexandra","Otago","-45.2561323066784","169.393194035234",
"Central Otago District Libraries: Cromwell","Public","Public Library","Active","","ALPCW",", , Cromwell",", , Cromwell -","","03 445 0213","03 445 0216","icrom@codc.govt.nz","Branch of Central Otago District Libraries ALP.  Requesting Only.  Supplying is done by ALP.","","T","","Nikki Williams","Library Manager","icrom@codc.govt.nz","03 445 0216","03 445 0213","Joan Entwisle","Interloans Contact","","03 445 0213","","","","","","","T","T","T","Charter","T","5","30","5","30","","","14","40","14","40","Cromwell","Otago","-45.0374","169.1974",
"Auckland Landcare Research Library","Other","Research","Active","Manaaki Whenua","ALR","231 Morrin Road, Tamaki, Auckland","Private Bag 92 170, , Auckland - 1142","http://www.landcareresearch.co.nz/publications/library/","+64 9 574 4142","+64 9 574 4101","library@landcareresearch.co.nz","Accepts copy requests from individuals.","","T","","Margot Bowden","Library Manager","bowdenm@landcareresearch.co.nz","+64 3 321 9998","+64 3 321 9619","Jamie Blackman","Interloans Librarian","library@landcareresearch.co.nz","+64 9 574 4142","","","","","","","T","T","T","Charter","T","14","14","14","14","Fax orders $20","","20","34","20","34","Auckland","Auckland","-36.8835","174.8488",
"Bill Laxon Maritime Library","Other","Museum","Active","","AMAR","Voyager New Zealand Maritime Museum, Hobson Wharf, cnr Hobson and Quay Streets, Auckland","Voyager New Zealand Maritime Museum, P O Box 3141, Auckland - 1140","www.maritimemuseum.co.nz","+64 9 373 0800","+64 9 377 6000","Marleene@maritimemuseum.co.nz","","","T","LIANZA","Marleene Boyd","Librarian and Information Manager","Marleene@maritimemuseum.co.nz","+64 9 377 6000","+64 9 373 0810","Marleene Boyd","Librarian and Information Manager","Marleene@maritimemuseum.co.nz","+64 9 373 0810","","","","","","","F","F","T","Charter","F","20","60","20","40","For non-IBS members a $20.00 invoice service charge + GST will apply","Visa and Mastercard credit cards accepted for all overseas payments","60","75","40","60","Auckland","Auckland","-36.8429","174.7664",
"McElroys Library","Other","Business","Active","","AMCE","Level 15, Tower Building, 45 Queen Street, Auckland","PO Box 835, , Auckland - 1140","www.mcelroys.co.nz","+64 9 307 2003","+64 9 309 7558","kath.clark@mcelroys.co.nz","","","T","","Kath Clark","Librarian","kath.clark@mcelroys.co.nz","+64 9 309 7558","+64 9 307 2003","Kath Clark","Interloans Librarian","kath.clark@mcelroys.co.nz","+64 9 307 2003","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Auckland","Auckland","-36.7585867041113","174.595603483013",
"Media Design School","","Tertiary","Active","","AMDS","Level 16, 92 Albert Street, Auckland","P O Box 5927, Wellesley Street, Auckland - 1141","www.mediadesignschool.com","+64 9 303 0402","+64 9 303 0646","elwyn.sheehan@mediadesign.school.nz","","","","","Elwyn Sheehan","Digital Services Librarian","elwyn.sheehan@mediadesign.school.nz","+64 9 303 0646","+64 9 303 0402","Elwyn Sheehan","Digital Services Librarian","elwyn.sheehan@mediadesign.school.nz","+64 9 303 0402","","","","","","","","","","tba","","","","","","","","","","","","Auckland","Auckland","","",
